date,year,month,day,time,hour,minute,direction,type,file_idx,vehicle_count,occupancy,is_public_vehicle,total_electric,is_electric
2022-10-25,2022,10,25,10:10,10,10,In,Car,93,12,1.5,0.0,0.0,0
2022-10-25,2022,10,25,10:10,10,10,In,Taxi,93,1,2.0,0.0,1.0,1
2022-10-25,2022,10,25,10:10,10,10,In,Van,93,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:10,10,10,Out,Bus,80,3,26.666666666666664,0.0,0.0,0
2022-10-25,2022,10,25,10:10,10,10,Out,Car,80,11,1.0909090909090908,0.0,0.0,0
2022-10-25,2022,10,25,10:10,10,10,Out,Lorry,80,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:15,10,15,In,Bicycle,93,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:15,10,15,In,Bus,93,1,64.0,0.0,1.0,1
2022-10-25,2022,10,25,10:15,10,15,In,Car,93,8,1.125,0.0,0.0,0
2022-10-25,2022,10,25,10:15,10,15,In,Lorry,93,1,2.0,0.0,0.0,0
2022-10-25,2022,10,25,10:15,10,15,In,Taxi,93,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:15,10,15,Out,Bicycle,80,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:15,10,15,Out,Bus,80,2,4.0,0.0,0.0,0
2022-10-25,2022,10,25,10:15,10,15,Out,Car,80,7,1.5714285714285714,0.0,2.0,1
2022-10-25,2022,10,25,10:15,10,15,Out,Taxi,80,1,1.0,0.0,1.0,1
2022-10-25,2022,10,25,10:20,10,20,In,Bicycle,84,2,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:20,10,20,In,Bus,84,3,29.333333333333336,0.0,0.0,0
2022-10-25,2022,10,25,10:20,10,20,In,Car,84,16,1.5,0.0,0.0,0
2022-10-25,2022,10,25,10:20,10,20,In,Lorry,84,1,2.0,0.0,0.0,0
2022-10-25,2022,10,25,10:20,10,20,In,Taxi,84,2,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:20,10,20,In,Van,84,2,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:20,10,20,Out,Bicycle,80,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:20,10,20,Out,Bus,88,4,44.0,0.0,0.0,0
2022-10-25,2022,10,25,10:20,10,20,Out,Car,88,10,1.0,0.0,3.0,1
2022-10-25,2022,10,25,10:20,10,20,Out,Lorry,88,1,2.0,0.0,0.0,0
2022-10-25,2022,10,25,10:20,10,20,Out,Taxi,80,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:25,10,25,In,Bicycle,93,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:25,10,25,In,Bus,77,2,44.0,0.0,0.0,0
2022-10-25,2022,10,25,10:25,10,25,In,Car,84,10,2.0,0.0,0.0,0
2022-10-25,2022,10,25,10:25,10,25,In,Motorbike,84,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:25,10,25,In,Taxi,93,1,1.0,0.0,1.0,1
2022-10-25,2022,10,25,10:25,10,25,Out,Bicycle,88,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:25,10,25,Out,Bus,80,2,42.0,0.0,0.0,0
2022-10-25,2022,10,25,10:25,10,25,Out,Car,88,12,1.1666666666666667,0.0,3.0,1
2022-10-25,2022,10,25,10:25,10,25,Out,Motorbike,88,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:25,10,25,Out,Taxi,80,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:25,10,25,Out,Van,80,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:30,10,30,In,Bicycle,77,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:30,10,30,In,Bus,77,1,64.0,0.0,0.0,0
2022-10-25,2022,10,25,10:30,10,30,In,Car,84,19,1.4736842105263157,0.0,0.0,0
2022-10-25,2022,10,25,10:30,10,30,In,Lorry,84,1,2.0,0.0,0.0,0
2022-10-25,2022,10,25,10:30,10,30,In,Taxi,77,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:30,10,30,In,Van,75,2,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:30,10,30,Out,Bus,88,3,42.666666666666664,0.0,0.0,0
2022-10-25,2022,10,25,10:30,10,30,Out,Car,88,8,1.625,0.0,3.0,1
2022-10-25,2022,10,25,10:30,10,30,Out,Lorry,82,1,2.0,0.0,0.0,0
2022-10-25,2022,10,25,10:30,10,30,Out,Taxi,95,2,2.5,0.0,0.0,0
2022-10-25,2022,10,25,10:30,10,30,Out,Van,80,2,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:35,10,35,In,Bicycle,79,3,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:35,10,35,In,Bus,79,3,55.999999999999986,0.0,0.0,0
2022-10-25,2022,10,25,10:35,10,35,In,Car,84,15,1.8666666666666667,0.0,0.0,0
2022-10-25,2022,10,25,10:35,10,35,In,Lorry,84,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:35,10,35,In,Taxi,75,1,2.0,0.0,0.0,0
2022-10-25,2022,10,25,10:35,10,35,In,Van,77,2,2.0,0.0,0.0,0
2022-10-25,2022,10,25,10:35,10,35,Out,Bus,82,2,0.0,0.0,0.0,0
2022-10-25,2022,10,25,10:35,10,35,Out,Car,88,18,1.4444444444444444,0.0,3.0,1
2022-10-25,2022,10,25,10:35,10,35,Out,Lorry,82,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:35,10,35,Out,Taxi,104,2,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:35,10,35,Out,Van,88,4,2.25,0.0,0.0,0
2022-10-25,2022,10,25,10:40,10,40,In,Bicycle,79,2,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:40,10,40,In,Bus,75,2,8.0,0.0,0.0,0
2022-10-25,2022,10,25,10:40,10,40,In,Car,77,23,1.565217391304348,0.0,3.0,1
2022-10-25,2022,10,25,10:40,10,40,In,Lorry,77,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:40,10,40,In,Motorbike,75,1,1.0,0.0,0.0,0
2022-10-25,2022,10,25,10:40,10,40,In,Scooter,75,1,1.0,0.0,1.0,1
2022-10-25,2022,10,25,10:40,10,40,In,Taxi,79,3,1.3333333333333333,0.0,0.0,0
2022-10-25,2022,10,25,10:40,10,40,In,Van,79,3,1.3333333333333333,0.0,0.0,0
2022-10-25,2022,10,25,10:40,10,40,Out,Bicycle,95,1,1.0,0.0,1.0,1
2022-10-25,2022,10,25,10:40,10,40,Out,Bus,95,3,10.666666666666666,0.0,1.0,1
2022-10-25,2022,10,25,10:40,10,40,Out,Car,88,16,1.4375,0.0,2.0,1
